uke_start,horisont,faktisk,xgb_pred,lgbm_pred,ensemble_pred
2025-03-10,8,88.64,95.07887,104.63157459574924,99.85522363820665
2025-03-17,8,89.09,94.40172,107.53219037338457,100.9669542565165
2025-03-24,8,84.45,96.56619,106.86450644385859,101.71534953540586
2025-03-31,8,76.4,105.124016,110.40796330550533,107.76598955680541
2025-04-07,8,78.56,102.946465,112.2137687392079,107.58011663889106
2025-04-14,8,95.33,106.393,111.21611084815282,108.80455429492602
2025-04-21,8,89.19,99.77402,105.95631725565008,102.86516729481723
2025-04-28,8,75.35,101.15874,107.54977225863371,104.35425472062545
2025-05-05,8,74.31,100.961975,106.63477853028547,103.79837681397086
2025-05-12,8,77.06,95.05822,98.43310472031952,96.74566231499375
2025-05-19,8,75.89,94.89011,97.80887772591238,96.34949196354214
2025-05-26,8,70.42,93.67175,98.33346618515043,96.00260955741896
2025-06-02,8,72.42,81.76474,82.72731964361581,82.2460298169251
2025-06-09,8,82.73,87.4131,94.49674573572034,90.9549234660047
2025-06-16,8,76.33,94.663826,93.30754681628491,93.98568640252722
2025-06-23,8,68.74,86.53822,89.51189321725579,88.02505824192868
2025-06-30,8,70.28,71.89626,76.831311810981,74.3637874667698
2025-07-07,8,67.29,72.95699,76.78715207160697,74.87207258731715
2025-07-14,8,68.13,75.73489,80.9285038794692,78.33169883914866
2025-07-21,8,65.1,64.08475,69.58131994485338,66.83303362965324
2025-07-28,8,60.58,64.18357,67.51194871169304,65.84775978675472
2025-08-04,8,62.05,62.187305,66.52203255457556,64.3546690025075
2025-08-11,8,64.38,77.74438,76.32731039550552,77.035843765868
2025-08-18,8,65.13,62.86581,66.07520194215087,64.47050616821899
2025-08-25,8,65.86,60.832127,66.24700598248737,63.5395662999595
2025-09-01,8,70.2,61.68258,66.32922503401619,64.00590203727177
2025-09-08,8,74.99,64.142456,66.88927488777054,65.51586547122902
2025-09-15,8,77.4,65.10397,75.40600020496049,70.25498679681618
2025-09-22,8,79.91,61.31245,75.45254243297758,68.38249642095656
2025-09-29,8,77.68,63.5598,73.78480675478954,68.67230297456274
2025-10-06,8,75.38,65.22381,71.34288522697096,68.28334675777259
2025-10-13,8,73.74,67.44294,70.81963447308796,69.13128711569436
2025-10-20,8,78.25,67.15311,74.13782827847015,70.64546748396164
2025-10-27,8,80.55,67.27066,73.98715720326683,70.62890880182873
2025-11-03,8,78.08,79.177376,80.96705668073133,80.07221623709418
2025-11-10,8,80.1,76.95057,78.5578251377936,77.75419714531282
2025-11-17,8,84.54,88.623085,87.96445447895073,88.29376975046169
2025-11-24,8,82.5,90.09039,91.45685135006437,90.77362220823531
2025-12-01,8,88.83,90.87064,96.30830399793632,93.58947380682949
2025-12-08,8,95.84,89.708435,91.71079684598253,90.70961595228815
2025-12-15,8,88.71,84.5919,85.53702658731335,85.06446513691839
2025-12-22,8,103.59,92.09693,91.60486156508952,91.85089651130453
2025-12-29,8,100.4,92.74822,96.70173720153137,94.7249797763028
2026-01-05,8,92.33,98.997086,100.5726846685791,99.78488511993407
2026-01-12,8,83.65,98.98401,102.59125052436768,100.7876296567151
2026-01-19,8,83.09,101.220055,107.64203753872576,104.4310460825953
2026-01-26,8,81.29,100.92466,100.64592170630715,100.78529071765553
2026-02-02,8,92.86,101.73723,105.46886881803933,103.603048605797
2026-02-09,8,93.6,101.38281,107.97271529938409,104.67776389969205
2026-02-16,8,84.89,99.87664,111.8104060813787,105.84352320060145
2026-02-23,8,81.34,100.87327,112.34894005480106,106.61110409112123
2026-03-02,8,88.03,105.11501,107.21055882266836,106.16278597261348
2026-03-09,8,94.98,104.95198,108.27312071472484,106.61255065277257
2024-03-18,12,106.78,,,
2024-03-25,12,115.19,,,
2024-04-01,12,120.04,,,
2024-04-08,12,123.28,,,
2024-04-15,12,121.22,,,
2024-04-22,12,113.18,,,
2024-04-29,12,119.65,,,
2024-05-06,12,122.05,,,
2024-05-13,12,120.83,,,
2024-05-20,12,118.07,,,
2024-05-27,12,104.9,,,
2024-06-03,12,92.2,,,
2024-06-10,12,84.87,98.08997,95.84786054408842,96.96891699689772
2024-06-17,12,85.58,97.356705,94.31339686476024,95.83505078833716
2024-06-24,12,79.29,73.27413,86.55846589179725,79.9162988333498
2024-07-01,12,78.24,73.90917,87.01264688891915,80.46090947351232
2024-07-08,12,79.78,72.425865,84.73839690457088,78.58213103895537
2024-07-15,12,81.46,64.31555,77.35034401893346,70.83294788837298
2024-07-22,12,81.55,64.25879,73.74749808958421,69.0031435760421
2024-07-29,12,81.19,65.610664,76.14590526464282,70.8782848161593
2024-08-05,12,80.41,64.96242,76.55400979004469,70.75821369629188
2024-08-12,12,80.89,63.295605,76.96886945946662,70.13223708263858
2024-08-19,12,76.82,59.536667,69.8866117367236,64.71163930342038
2024-08-26,12,73.93,59.387848,71.83999061042437,65.6139192554075
2024-09-02,12,73.08,60.926746,71.81828651258823,66.37251644049822
2024-09-09,12,74.12,61.117683,70.94674128543123,66.03221234803789
2024-09-16,12,74.57,61.61996,71.35855426870901,66.48925752681056
2024-09-23,12,73.23,62.04216,71.30230258099462,66.67223130758715
2024-09-30,12,69.7,62.65474,71.47654407833207,67.06564172910744
2024-10-07,12,72.76,62.102493,71.40178960442847,66.75214144528064
2024-10-14,12,76.02,62.104607,69.3508377164937,65.72772217245583
2024-10-21,12,77.59,62.6298,70.34343906075202,66.48661897495609
2024-10-28,12,76.49,63.486465,72.62636979463937,68.05641762437047
2024-11-04,12,77.8,63.774006,71.60267452834918,67.68834020912088
2024-11-11,12,81.68,63.30044,70.96980776531788,67.13512475363062
2024-11-18,12,86.59,65.6249,72.08747799365156,68.85618940576133
2024-11-25,12,89.32,70.64098,74.85367091157269,72.74732724655783
2024-12-02,12,87.46,72.30059,79.76603704145364,76.03331377829518
2024-12-09,12,90.74,68.46743,77.19487217654056,72.83115114564333
2024-12-16,12,92.15,70.21743,79.23895765622356,74.72819388548483
2024-12-23,12,111.82,71.8245,81.46247174857928,76.64348639308847
2024-12-30,12,125.36,71.73755,83.40468446870811,77.57111664841656
2025-01-06,12,117.77,72.67841,87.26937693062112,79.9738951608672
2025-01-13,12,105.08,80.10262,92.76288934367129,86.43275616475557
2025-01-20,12,98.43,77.35363,91.74381555614704,84.5487228110325
2025-01-27,12,94.49,75.74274,87.8201638205373,81.78145031847177
2025-02-03,12,92.18,78.90612,94.58562874535765,86.74587452282532
2025-02-10,12,93.23,80.23879,96.47105301174182,88.3549227155877
2025-02-17,12,92.97,81.658295,99.48210951858267,90.57020209815852
2025-02-24,12,92.67,83.8589,100.37342597612742,92.11616397683323
2025-03-03,12,87.0,84.30951,100.59318341047184,92.4513463439078
2025-03-10,12,88.64,82.391685,99.6962970588767,91.04399127235827
2025-03-17,12,89.09,83.23645,98.95517609931619,91.09581314731435
2025-03-24,12,84.45,83.59536,99.40203707682393,91.49869843953502
2025-03-31,12,76.4,87.48206,101.39187514460968,94.43696921903336
2025-04-07,12,78.56,77.910255,100.25914666210257,89.08470104711574
2025-04-14,12,95.33,85.16243,100.95458631678724,93.05850806317878
2025-04-21,12,89.19,83.60923,99.51094627440023,91.56008815795207
